Country,Visa Type,Length of Stay,Visa Validity,Entry Type,Method,Purpose,Processing Time
🇪🇺 Schengen,Sticker Visa,Up to 90 Days,180 Days (or as granted),Single / Double / Multiple,Embassy Submission + Biometrics,"Tourism, Family Visit, Business",15–30 Working Days
🇬🇧 United Kingdom,eVisa (most new visitor visas),Up to 6 Months,Up to 6 Months,Multiple,Online + Biometrics,"Tourism, Family Visit, Business",15–30 Working Days
🇯🇵 Japan,eVisa / Sticker Visa,Up to 90 Days,Usually 90 Days,Single / Multiple,Online (eligible) / Embassy,"Tourism, Family Visit, Business",5–10 Working Days
🇰🇷 South Korea,eVisa / Sticker Visa,Up to 90 Days,Usually 90 Days,Single / Multiple,Online (eligible) / Embassy,"Tourism, Business, Family Visit",10–15 Working Days
🇦🇺 Australia,eVisitor / eVisa,Up to 3 Months per Visit,Up to 12 Months,Multiple,Fully Online,"Tourism, Family Visit, Business",15–30 Working Days
🇳🇿 New Zealand,eVisa,Up to 6 Months,Up to 12 Months,Multiple,Online,"Tourism, Family Visit",20–35 Working Days
🇹🇼 Taiwan,eVisa / Sticker Visa,30–90 Days,As Granted,Single / Multiple,Online (eligible) / Embassy,"Tourism, Business",7–10 Working Days
🇨🇦 Canada,Sticker Visa,Up to 6 Months per Visit,Up to 10 Years (or Passport Expiry),Multiple,Online + Passport Submission + Biometrics,"Tourism, Family Visit, Business",20–45 Working Days
🇸🇬 Singapore,eVisa,Up to 30 Days,Up to 2 Years (varies),Single / Multiple,Online via Authorized Agent,"Tourism, Family Visit, Business",3–5 Working Days
🇰🇭 Cambodia,eVisa / Sticker Visa,Up to 30 Days,90 Days,Single,Online / Visa on Arrival,"Tourism, Business",3–5 Working Days
🇷🇺 Russia,eVisa,Up to 16 Days,60 Days,Single,Online,"Tourism, Business, Private Visit",4–10 Working Days
🇨🇳 China,Sticker Visa,Usually 30–60 Days,3 Months / 6 Months / 1 Year,Single / Double / Multiple,Embassy / Visa Centre,"Tourism, Business, Family Visit",4–10 Working Days
🇮🇩 Indonesia,eVisa / Visa on Arrival,Up to 30 Days,90 Days,Single,Online / On Arrival,"Tourism, Business",3–7 Working Days
🇲🇻 Maldives,Visa on Arrival,Up to 30 Days,Issued on Arrival,Single,Airport Immigration,Tourism,Same Day
🇦🇪 United Arab Emirates,eVisa,30 or 60 Days,60 Days,Single / Multiple,Online,"Tourism, Family Visit, Business",2–5 Working Days
🇹🇭 Thailand,eVisa / Visa on Arrival (eligible travelers),Up to 60 Days,Up to 90 Days,Single,Online / Visa on Arrival,"Tourism, Family Visit, Business",3–10 Working Days
🇲🇾 Malaysia,eVisa / eNTRI (when available),Up to 30 Days,Up to 90 Days,Single,Online,"Tourism, Business, Family Visit",2–5 Working Days
🇱🇰 Sri Lanka,Electronic Travel Authorization (ETA),Up to 30 Days,180 Days,Double Entry,Online,"Tourism, Business, Transit",1–3 Working Days
🇻🇳 Vietnam,eVisa,Up to 90 Days,Up to 90 Days,Single / Multiple,Online,"Tourism, Business, Family Visit",3–5 Working Days
🇭🇰 Hong Kong,Online Pre-arrival Registration (where applicable) / eVisa (certain categories),Up to 14 Days (Indian visitors with valid PAR),6 Months (PAR validity),Multiple (PAR),Online,"Tourism, Business, Family Visit",1–5 Working Days
,,,,,,,
,,,,,,,
🇪🇺 Schengen Visa (Sticker Visa),,,,,,,
Required Documents,,,,,,,
✅ Original Passport (6 months validity),,,,,,,
✅ Old Passports (if available),,,,,,,
✅ Passport Size Photos,,,,,,,
✅ Visa Application Form,,,,,,,
✅ Cover Letter,,,,,,,
✅ Flight Reservation,,,,,,,
✅ Hotel Booking,,,,,,,
"✅ Travel Insurance (€30,000 coverage)",,,,,,,
✅ Last 6 Months Bank Statement,,,,,,,
✅ Salary Slips (Last 3 Months),,,,,,,
✅ Employment Letter / Leave Letter,,,,,,,
✅ Income Tax Returns (ITR),,,,,,,
✅ Aadhaar Card / PAN Card,,,,,,,
🇬🇧 UK Visitor Visa,,,,,,,
Required Documents,,,,,,,
✅ Passport,,,,,,,
✅ Passport Size Photo (if required),,,,,,,
✅ Online Application,,,,,,,
✅ Cover Letter,,,,,,,
✅ Bank Statement,,,,,,,
✅ Salary Slips,,,,,,,
✅ Employment Letter,,,,,,,
✅ Flight Itinerary,,,,,,,
✅ Hotel Booking / Invitation Letter,,,,,,,
✅ ITR (if applicable),,,,,,,
🇯🇵 Japan Visitor Visa,,,,,,,
Required Documents,,,,,,,
✅ Passport,,,,,,,
✅ Photograph,,,,,,,
✅ Visa Application Form,,,,,,,
✅ Bank Statement,,,,,,,
✅ Employment Letter,,,,,,,
✅ Flight Booking,,,,,,,
